date,gold_rate_usd,gold_rate,exchange_rate,inflation_rate,policy_repo_rate,closing_price
2019-09-17 00:00:00,1505.10,107989.57,71.75,3.99,5.4,10817.60
2019-09-18 00:00:00,1507.50,108102.82,71.71,3.99,5.4,10840.65
2019-09-19 00:00:00,1498.40,107199.29,71.54,3.99,5.4,10704.80
2019-09-20 00:00:00,1507.30,108099.79,71.72,3.99,5.4,11274.20
2019-09-21 00:00:00,1507.30,108099.79,71.72,3.99,5.4,11274.20
2019-09-22 00:00:00,1507.30,108099.79,71.72,3.99,5.4,11274.20
2019-09-23 00:00:00,1523.70,108474.63,71.19,3.99,5.4,11600.20
2019-09-24 00:00:00,1532.10,108456.74,70.79,3.99,5.4,11588.20
2019-09-25 00:00:00,1504.60,107255.41,71.29,3.99,5.4,11440.20
2019-09-26 00:00:00,1507.50,107499.82,71.31,3.99,5.4,11571.20
2019-09-27 00:00:00,1499.10,106758.40,71.21,3.99,5.4,11512.40
2019-09-28 00:00:00,1499.10,106758.40,71.21,3.99,5.4,11512.40
2019-09-29 00:00:00,1499.10,106758.40,71.21,3.99,5.4,11512.40
2019-09-30 00:00:00,1465.70,103329.95,70.50,3.99,5.4,11474.45
2019-10-01 00:00:00,1482.00,105107.15,70.92,4.62,5.4,11359.90
2019-10-02 00:00:00,1501.00,106721.10,71.10,4.62,5.4,11359.90
2019-10-03 00:00:00,1507.10,107217.51,71.14,4.62,5.4,11314.00
2019-10-04 00:00:00,1506.20,106970.32,71.02,4.62,5.15,11174.75
2019-10-05 00:00:00,1506.20,106970.32,71.02,4.62,5.15,11174.75
2019-10-06 00:00:00,1506.20,106970.32,71.02,4.62,5.15,11174.75
2019-10-07 00:00:00,1497.70,106059.63,70.82,4.62,5.15,11126.40
2019-10-08 00:00:00,1497.20,106840.19,71.36,4.62,5.15,11126.40
2019-10-09 00:00:00,1506.10,107249.38,71.21,4.62,5.15,11313.30
2019-10-10 00:00:00,1494.80,106743.68,71.41,4.62,5.15,11234.55
2019-10-11 00:00:00,1482.70,105242.05,70.98,4.62,5.15,11305.05
2019-10-12 00:00:00,1482.70,105242.05,70.98,4.62,5.15,11305.05
2019-10-13 00:00:00,1482.70,105242.05,70.98,4.62,5.15,11305.05
2019-10-14 00:00:00,1491.70,105782.41,70.91,4.62,5.15,11341.15
2019-10-15 00:00:00,1477.60,105578.21,71.45,4.62,5.15,11428.30
2019-10-16 00:00:00,1488.00,106778.88,71.76,4.62,5.15,11464.00
2019-10-17 00:00:00,1492.30,106878.53,71.62,4.62,5.15,11586.35
2019-10-18 00:00:00,1488.20,106290.96,71.42,4.62,5.15,11661.85
2019-10-19 00:00:00,1488.20,106290.96,71.42,4.62,5.15,11661.85
2019-10-20 00:00:00,1488.20,106290.96,71.42,4.62,5.15,11661.85
2019-10-21 00:00:00,1482.40,105294.87,71.03,4.62,5.15,11661.85
2019-10-22 00:00:00,1481.70,105356.28,71.11,4.62,5.15,11588.35
2019-10-23 00:00:00,1489.90,105894.64,71.07,4.62,5.15,11604.10
2019-10-24 00:00:00,1498.90,105994.71,70.71,4.62,5.15,11582.60
2019-10-25 00:00:00,1499.50,106749.41,71.19,4.62,5.15,11583.90
2019-10-26 00:00:00,1499.50,106749.41,71.19,4.62,5.15,11583.90
2019-10-27 00:00:00,1499.50,106749.41,71.19,4.62,5.15,11583.90
2019-10-28 00:00:00,1490.00,105536.70,70.83,4.62,5.15,11583.90
2019-10-29 00:00:00,1487.00,105182.95,70.74,4.62,5.15,11786.85
2019-10-30 00:00:00,1493.20,105844.88,70.88,4.62,5.15,11844.10
2019-10-31 00:00:00,1511.40,107294.28,70.99,4.62,5.15,11877.45
2019-11-01 00:00:00,1508.00,107022.76,70.97,5.54,5.15,11890.60
2019-11-02 00:00:00,1508.00,107022.76,70.97,5.54,5.15,11890.60
2019-11-03 00:00:00,1508.00,107022.76,70.97,5.54,5.15,11890.60
2019-11-04 00:00:00,1508.00,106332.25,70.51,5.54,5.15,11941.30
2019-11-05 00:00:00,1480.80,105136.80,71.00,5.54,5.15,11917.20
2019-11-06 00:00:00,1490.20,105647.72,70.89,5.54,5.15,11966.05
2019-11-07 00:00:00,1464.20,103958.20,71.00,5.54,5.15,12012.05
2019-11-08 00:00:00,1461.30,104302.49,71.38,5.54,5.15,11908.15
2019-11-09 00:00:00,1461.30,104302.49,71.38,5.54,5.15,11908.15
2019-11-10 00:00:00,1461.30,104302.49,71.38,5.54,5.15,11908.15
2019-11-11 00:00:00,1455.50,103888.50,71.38,5.54,5.15,11913.45
2019-11-12 00:00:00,1452.10,103932.60,71.57,5.54,5.15,11913.45
2019-11-13 00:00:00,1461.70,104920.82,71.78,5.54,5.15,11840.45
2019-11-14 00:00:00,1471.80,106177.87,72.14,5.54,5.15,11872.10
2019-11-15 00:00:00,1467.30,105580.75,71.96,5.54,5.15,11895.45
2019-11-16 00:00:00,1467.30,105580.75,71.96,5.54,5.15,11895.45
2019-11-17 00:00:00,1467.30,105580.75,71.96,5.54,5.15,11895.45
2019-11-18 00:00:00,1470.90,105472.07,71.71,5.54,5.15,11884.50
2019-11-19 00:00:00,1473.30,105981.98,71.94,5.54,5.15,11940.10
2019-11-20 00:00:00,1473.30,105858.08,71.85,5.54,5.15,11999.10
